sampleId	analysising	hasAnalysis	fristAudit	secondAudit	terminate
7027	0	0	0	8	0
7028	0	0	0	6	0
7029	0	0	0	6	0
7030	0	0	0	12	0
7031	0	0	0	6	0
7032	0	0	0	6	0
7033	0	0	0	6	0
7034	0	0	0	6	0
7035	0	0	0	6	0
7036	0	0	0	8	0
7037	0	0	0	6	0
7038	0	0	0	6	0
7039	0	0	0	6	0
7040	0	0	0	6	0
7041	0	0	0	6	0
7042	0	0	0	8	0
7043	0	0	0	6	0
7044	0	0	0	6	0
7045	0	0	0	6	0
7046	0	0	0	12	0
7047	0	0	0	8	0
7048	0	0	0	6	0
7049	0	0	0	6	0
7051	0	0	0	6	0
7052	0	0	0	6	0
